teamID,OPP,monthID,dayID,yearID,AB,oppAB,R,RA,TR,H,oppH,BB,oppBB,HBP,oppHBP,SF,oppSF,HOME,y
WAS,COL,4,25,2017,41,40,15,12,27,14,15,6,2,0,1,0,1,0,1
WAS,COL,4,26,2017,40,33,11,4,15,14,8,5,5,0,0,0,0,0,1
WAS,COL,4,27,2017,45,36,16,5,21,19,10,7,3,1,9,0,0,0,1
WAS,NY,4,28,2017,38,




